SSID,Time,RSSI
a,13:14:42,-33
a,13:14:46,-30
a,13:14:49,-31
a,13:14:52,-31
a,13:14:55,-35
a,13:14:59,-35
a,13:15:02,-38
a,13:15:05,-41
a,13:15:09,-49
a,13:15:12,-53
a,13:15:16,-51
a,13:15:19,-51
a,13:15:22,-50
a,13:15:26,-52
a,13:15:29,-58
a,13:15:32,-53
a,13:15:36,-51
a,13:15:39,-52
a,13:15:43,-54
a,13:15:46,-48
a,13:15:50,-51
a,13:15:53,-50
a,13:15:57,-53
c,13:14:42,-58
c,13:14:46,-61
c,13:14:49,-56
c,13:14:52,-50
c,13:14:55,-46
c,13:14:59,-49
c,13:15:02,-47
c,13:15:05,-45
c,13:15:09,-43
c,13:15:12,-44
c,13:15:16,-42
c,13:15:19,-57
c,13:15:22,-38
c,13:15:26,-38
c,13:15:29,-38
c,13:15:32,-42
c,13:15:36,-38
c,13:15:39,-42
c,13:15:43,-49
c,13:15:46,-52
c,13:15:50,-52
c,13:15:53,-51
c,13:15:57,-46
b,13:14:42,-42
b,13:14:46,-43
b,13:14:49,-47
b,13:14:52,-43
b,13:14:55,-34
b,13:14:59,-40
b,13:15:02,-43
b,13:15:05,-41
b,13:15:09,-42
b,13:15:12,-40
b,13:15:16,-49
b,13:15:19,-46
b,13:15:22,-57
b,13:15:26,-49
b,13:15:29,-49
b,13:15:32,-52
b,13:15:36,-67
b,13:15:39,-58
b,13:15:43,-58
b,13:15:46,-56
b,13:15:50,-65
b,13:15:53,-52
b,13:15:57,-65
